period_label,Year,Week,t,avgwaiting_time,baseline_waiting_time_ma12,deviation,flag_percentile_p90,flag_iqr,flag_ma_deviation,flag_robust_zscore_mad,n_methods_flagged,disruption_flag,detection_method
2020-W16,2020.0,16.0,67,16.0,14.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W17,2020.0,17.0,68,10.0,14.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W18,2020.0,18.0,69,15.0,14.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W19,2020.0,19.0,70,17.0,14.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2020-W20,2020.0,20.0,71,8.0,14.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2020-W21,2020.0,21.0,72,16.0,13.0,3.0,False,False,False,False,0,False,robust_zscore_mad
2020-W22,2020.0,22.0,73,10.0,13.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2020-W23,2020.0,23.0,74,11.0,13.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W24,2020.0,24.0,75,6.0,13.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2020-W25,2020.0,25.0,76,5.0,12.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2020-W26,2020.0,26.0,77,7.0,11.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W27,2020.0,27.0,78,7.0,11.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W28,2020.0,28.0,79,6.0,10.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W29,2020.0,29.0,80,5.0,9.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W30,2020.0,30.0,81,10.0,9.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W31,2020.0,31.0,82,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W32,2020.0,32.0,83,7.0,8.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W33,2020.0,33.0,84,8.0,8.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2020-W34,2020.0,34.0,85,7.0,7.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2020-W35,2020.0,35.0,86,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W36,2020.0,36.0,87,8.0,7.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W37,2020.0,37.0,88,15.0,8.0,7.0,False,False,False,False,0,False,robust_zscore_mad
2020-W38,2020.0,38.0,89,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W39,2020.0,39.0,90,9.0,8.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W40,2020.0,40.0,91,6.0,8.0,-2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W41,2020.0,41.0,92,11.0,9.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2020-W42,2020.0,42.0,93,16.0,9.0,7.0,False,False,False,False,0,False,robust_zscore_mad
2020-W43,2020.0,43.0,94,19.0,10.0,9.0,True,False,True,False,2,False,robust_zscore_mad
2020-W44,2020.0,44.0,95,17.0,11.0,6.0,False,False,False,False,0,False,robust_zscore_mad
2020-W45,2020.0,45.0,96,17.0,12.0,5.0,False,False,False,False,0,False,robust_zscore_mad
2020-W46,2020.0,46.0,97,22.0,13.0,9.0,True,False,True,False,2,False,robust_zscore_mad
2020-W47,2020.0,47.0,98,14.0,14.0,0.0,False,False,False,False,0,False,robust_zscore_mad
2020-W48,2020.0,48.0,99,13.0,14.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2020-W49,2020.0,49.0,100,7.0,13.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2020-W50,2020.0,50.0,101,7.0,13.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2020-W51,2020.0,51.0,102,6.0,13.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2020-W52,2020.0,52.0,103,9.0,13.0,-4.0,False,False,False,False,0,False,robust_zscore_mad
2020-W53,2020.0,53.0,104,4.0,13.0,-9.0,False,False,False,False,0,False,robust_zscore_mad
2021-W01,2021.0,1.0,105,9.0,12.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2021-W02,2021.0,2.0,106,13.0,11.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2021-W03,2021.0,3.0,107,17.0,11.0,6.0,False,False,False,False,0,False,robust_zscore_mad
2021-W04,2021.0,4.0,108,15.0,11.0,4.0,False,False,False,False,0,False,robust_zscore_mad
2021-W05,2021.0,5.0,109,13.0,11.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2021-W06,2021.0,6.0,110,12.0,10.0,2.0,False,False,False,False,0,False,robust_zscore_mad
2021-W07,2021.0,7.0,111,16.0,11.0,5.0,False,False,False,False,0,False,robust_zscore_mad
2021-W08,2021.0,8.0,112,21.0,12.0,9.0,True,False,True,False,2,False,robust_zscore_mad
2021-W09,2021.0,9.0,113,18.0,13.0,5.0,False,False,False,False,0,False,robust_zscore_mad
2021-W10,2021.0,10.0,114,15.0,14.0,1.0,False,False,False,False,0,False,robust_zscore_mad
2021-W11,2021.0,11.0,115,9.0,14.0,-5.0,False,False,False,False,0,False,robust_zscore_mad
2021-W12,2021.0,12.0,116,7.0,14.0,-7.0,False,False,False,False,0,False,robust_zscore_mad
2021-W13,2021.0,13.0,117,8.0,14.0,-6.0,False,False,False,False,0,False,robust_zscore_mad
2021-W14,2021.0,14.0,118,11.0,14.0,-3.0,False,False,False,False,0,False,robust_zscore_mad
2021-W15,2021.0,15.0,119,12.0,13.0,-1.0,False,False,False,False,0,False,robust_zscore_mad
2021-W16,2021.0,16.0,120,16.0,13.0,3.0,False,False,False,False,0,False,robust_zscore_mad
